Family,Binomial,Title,Author,Volume,Year,Page,In key,Binomial only,Binomial with occurrence record(s)/specimens,In synonymy,Unstructured diagnosis (comparative),Structured description,Habitat description,Ocurrence,Range description,Image
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 363,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 375,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 376,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 382,,,,,,complete,yes,,yes,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 396,yes,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.,v.92 (2005),2005,Page 397,yes,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,"Beihefte zum botanischen Centralblatt. Erste Abteilung, Anatomie, Histologie, Morphologie und Physiologie der Pflanzen. Erste Abteilung, Anatomie, Histologie, Morphologie und Physiologie der Pflanzen.",,v.39 abt.2 1921-1923,1904-1933,Page 145,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The flora of British India / ,"Hooker, Joseph Dalton,",v.1 (1875),1875,Page 299,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Flora of tropical Africa / ,"Oliver, Daniel,",v.1 (1868) [Ran.-Con.],1868,Page 174,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The journal of the Asiatic Society of Bengal. ,Asiatic Society of Bengal,v.62:pt.2-3 (1893),1893,Page 137,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The Journal of the Linnean Society.,Linnean Society of London.,v.30 (1895),1895,Page 73,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Materials for a flora of the Malayan Peninsula. ,"Gamble, J. S. (James Sykes)",no.1-5,1889,Page 429,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,The natural history of plants. ,"Baillon, H. (Henri),",4,1871,Page 214,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,"Die Natürlichen Pflanzenfamilien nebst ihren Gattungen und wichtigeren Arten, insbesondere den Nutzpflanzen, unter Mitwirkung zahlreicher hervorragender Fachgelehrten begründet ","Engler, Adolf,","Teil 3, Abt. 6-6a",1887,Page 276,,,[German],,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Novon a journal of botanical nomenclature from the Missouri Botanical Garden. ,Missouri Botanical Garden.,v. 7 1997,1997,Page 242,,,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Novon a journal of botanical nomenclature from the Missouri Botanical Garden. ,Missouri Botanical Garden.,v. 7 1997,1997,Page 243,,yes and type collection,,,,,,,,
Ancistrocladaceae,Ancistrocladus guineensis,Smithsonian contributions to botany. ,Smithsonian Institution.,no.58 (1986),1986,Page 114,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Contributions from the Gray Herbarium of Harvard University. ,Harvard University. Gray Herbarium.,no. 198-202 1969-71,1969-1971,Page 127,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Index Kewensis plantarum phanerogamarum. nomina et synonyma omnium generum et specierum ab initio anni MDCCCCLI usque ad finem anni MDCCCCLV nonnulla etiam antea edita complectens / Supplementum duodecimum : Supplementum duodecimum : ,"Taylor, George, Sir-Royal Botanic Gardens, Kew.",Suppl. 12,,Page 13,,yes as citation,,yes as citation,,,,,,
Annonaceae,Artabotrys stenopetalus,Just's botanischer jahresbericht. Systematisch geordnetes repertorium der botanischen literatur aller länder. ,,"Jahrg. 27, Abt. 1 (1899)",1899,Page 476,,,yes,,,,,,,
Annonaceae,Artabotrys stenopetalus,Monographieen afrikanischer Pflanzen-Familien und -Gattungen / ,"Diels, Ludwig,Engler, Adolf,Gilg, Ernst Friedrich, Schumann, K. (Karl)",v.6,1898,Page 72,,,,,,yes,,,,
Annonaceae,Artabotrys stenopetalus,Monographieen afrikanischer Pflanzen-Familien und -Gattungen / ,"Diels, Ludwig,Engler, Adolf,Gilg, Ernst Friedrich, Schumann, K. (Karl)",v.6,1898,Page 94,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Monographieen afrikanischer Pflanzen-Familien und -Gattungen / ,"Diels, Ludwig,Engler, Adolf,Gilg, Ernst Friedrich, Schumann, K. (Karl)",v.7,1899,Page 300,,,,,,yes,,,country citation,
Annonaceae,Artabotrys stenopetalus,Notulae systematicae. ,Laboratoire de phanérogamie (Muséum national d'histoire naturelle),v.15(1954-1959),1954 - 1959,Page 460,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,The Journal of the Linnean Society. Botany. ,Linnean Society of London.,v.37 (1904),1904,Page 121,,,,,,,,,,
Annonaceae,Artabotrys stenopetalus,la han zhong zi zhi wu ming chen ,zhong guo ke xue yuan bian yi chu ban wei yuan hui ming ci shi bian ding,(go to volume),,Page 13,,list,,,,,,,,
Annonaceae,Artabotrys stenopetalus,Notulae systematicae. ,Laboratoire de phanérogamie (Muséum national d'histoire naturelle),v.15(1954-1959),1954 - 1959,Page 330,,,yes,,,,yes: short,,yes,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1967,Page 79,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1968,Page 80,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1969,Page 83,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1970,Page 95,,,,,,,,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1971,Page 96,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1972,Page 122,,list,,,,,yes,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1973,Page 203,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,"A plant ecology survey of the Tugela river basin, Natal ","Edwards, Denzil",(go to volume),1974,Page 273,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,Annals of the Missouri Botanical Garden ,Henry Shaw School of Botany. Graduate Laboratory.Missouri Botanical Garden.,v.43 (1956),1956,Page 257,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,Bulletin / ,East Africa Natural History Society.,v.20-22 (1990-1992),1990-1992,Page 21,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,Bulletin / ,East Africa Natural History Society.,v.20-22 (1990-1992),1990-1992,Page29,,,yes,,,,,,,
Apocynaceae,Rauvolfia caffra,Bulletin / ,East Africa Natural History Society.,v.20-22 (1990-1992),1990-1992,Page30,,text,,,,,yes,,,
Apocynaceae,Rauvolfia caffra,Bulletin / ,East Africa Natural History Society.,v.23-26 (1993-1996) ,1993-1996,Page 22,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,Catalogue of the African plants ,"British Museum (Natural History). Department of Botany.Hiern, William P. (William Philip),Rendle, A. B. Welwitsch, Friedrich,(Alfred Barton),",v.1 pt.3,1896,Page 665,,,,,yes,,yes,yes,,
Apocynaceae,Rauvolfia caffra,Ecologically sensitive sites in Africa / ,World Bank.World Conservation Monitoring Centre.,v.6: Southern Africa,1993,Page 100,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,The Fern gazette. ,British Pteridological Society.,v.13 (1985-1990),1985-1990,Page 294 ,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,"Flora of Southern Africa : the Republic of South Africa, Basutoland, Swaziland and South West Africa.    "," Codd, L. E. W.
De Winter, B.
Dyer, R. Allen (Robert Allen),
Rycroft, H. B. (Hedley Brian)
South Africa. Department of Agricultural Technical Services.  ", v.26 (1963)   ,1963,Page 275,,,,,,yes,yes,,yes,
Apocynaceae,Rauvolfia caffra,IUCN Directory of Afrotropical Protected Areas ,,1987,1987,Page 655,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,IUCN Directory of Afrotropical Protected Areas ,,1987,1987,Page 669,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,IUCN Directory of Afrotropical Protected Areas ,,1987,1987,Page 776,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,IUCN Directory of Afrotropical Protected Areas ,,1987,1987,Page 858,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,Journal of the East Africa Natural History Society and National Museum. ,East Africa Natural History Society.National Museum (Kenya),no.112-130 (1966-1972),1966-1972,Page 15,,,yes,,,,yes,,,
Apocynaceae,Rauvolfia caffra,Journal of the East Africa Natural History Society and National Museum. ,East Africa Natural History Society.National Museum (Kenya),no.131-155 (1972-1975),1972-1975,Page 21,,,yes,,,,yes,,,
Apocynaceae,Rauvolfia caffra,Memoirs of the New York Botanical Garden. ,New York Botanical Garden.,v.8 1952-1954,1952-1954,Page 180,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,Memoirs of the New York Botanical Garden. ,New York Botanical Garden.,v.8 1952-1955,1952-1955,Page 187,,text,,,,,,,,
Apocynaceae,Rauvolfia caffra,Memoirs of the New York Botanical Garden. ,New York Botanical Garden.,v.8 1952-1956,1952-1956,Page 502,,,yes,,,,,,,
Apocynaceae,Rauvolfia caffra,"Moscosoa : contribuciones científicas del Jardín Botánico Nacional ""Dr. Rafael M. Moscoso"". ","Jardín Botánico Nacional ""Dr. Rafael M. Moscoso.""",v.6 (1990),1990,Page 264,,yes on reference,,,,,,,,
Apocynaceae,Rauvolfia caffra,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.161-163 (1958-1964),1958-1964,Page 53,,,yes,,,,,,,
Apocynaceae,Rauvolfia caffra,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.161-163 (1958-1964),1958-1965,Page 350,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.161-163 (1958-1964),1958-1966,Page 241,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.161-163 (1958-1964),1958-1967,Page 92,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.161-163 (1958-1964),1958-1968,Page 394,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,Useful plants of Nyasaland. Edited by P.J. Greenway. ,"Williamson, Jessi, Greenway, Percy James,",(go to volume),,Page 104,,,,,yes,,yes,yes,,
Apocynaceae,Rauvolfia caffra,Botany : current literature. ,United States. Bureau of Plant Industry. Library.,v.14,1919,Page 21,,yes on reference,,,,,,,,
Apocynaceae,Rauvolfia caffra,British Central Africa; an attempt to give some account of a portion of the territories under British influence north of the Zambezi. ,"Johnston, Harry Hamilton, Sir,",(go to volume),1897,Page 256,,,yes,,,,,,,
Apocynaceae,Rauvolfia caffra,Bulletin de la Société royale de botanique de Belgique. ,Société royale de botanique de Belgique.,v.51 (1912),1912,Page 365,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,"Bulletin du Jardin botanique de l'état, Bruxelles. Bulletin van de Rijksplantentuin, Brussel. ",Jardin botanique de l'Etat (Belgium),v.2 (1910),1910,Page 339,,,yes,,,,,,,
Apocynaceae,Rauvolfia caffra,Bulletin of miscellaneous information / ,"Royal Botanic Gardens, Kew.",1908,1908,Page 149,,text,,yes,yes,,,,,
Apocynaceae,Rauvolfia caffra,Catalogue of the African plants ,"British Museum (Natural History). Department of Botany.Hiern, William P. (William Philip),Rendle, A. B. (Alfred Barton),Welwitsch, Friedrich,",v.1:pt.3 (1898),1898,Page 665,,text,,,yes,,yes,,,
Apocynaceae,Rauvolfia caffra,"Flora capensis :being a systematic description of the plants of the Cape colony, Caffraria, & Port Natal (and neighbouring territories) ","Harvey, William H. (William Henry),Sonder, Otto Wilhelm,Thiselton-Dyer, William T. (William Turner),",v. 4 pt. 1,1909,Page 502,,,,,,yes,,yes,,
Apocynaceae,Rauvolfia caffra,Flora of tropical Africa / ,"Oliver, Daniel,",v.4:sect.1 (1902-1904) [Ole.-Gen.],1902-1904,Page 110,,,,,,yes,,yes,,
Apocynaceae,Rauvolfia caffra,Flora of tropical Africa / ,"Oliver, Daniel,",v.4:sect.1 (1902-1904) [Ole.-Gen.],1902-1905,Page 111,,as comments,,,,,,,,
Apocynaceae,Rauvolfia caffra,Flora of tropical Africa / ,"Oliver, Daniel,",v.4:sect.1 (1902-1904) [Ole.-Gen.],1902-1906,Page 601,,yes with a reference,,,,yes,,yes,,
Apocynaceae,Rauvolfia caffra,Great Basin naturalist memoirs. ,Brigham Young University.,no.13:pt.2:v.B (1992),1992,Page 1328,,list,,listing its own synonyms,,,,,,
Apocynaceae,Rauvolfia caffra,Just's botanischer jahresbericht. Systematisch geordnetes repertorium der botanischen literatur aller länder. ,,"Jahrg. 31, Abt. 2 (1903)",1903,Page 1268,,list,,,,,,,,
Apocynaceae,Rauvolfia caffra,LASCA miscellanea. ,California Arboretum FoundationLos Angeles State and County Arboretum.,v.1(1953),1953,Page 41,,list,,,,,,,,
Burseraceae,Boswellia dalzielii,Biodiversity journal. ,,v.4:no.3 (2013),2013,Page 429,,text,,,,,,,,
Burseraceae,Boswellia dalzielii,Biodiversity journal. ,,v.4:no.3 (2013),2014,Page 430,,list,,,,,,,,
Burseraceae,Boswellia dalzielii,Biodiversity journal. ,,v.4:no.3 (2013),2015,Page 431,,list,,,,,,,,
Burseraceae,Boswellia dalzielii,"Bulletin du Muséum National d'Histoire Naturelle Section B,Adansonia, botanique, phytochimie ",Muséum national d'histoire naturelle (France),v.6 (1984),1984,Page 233,,,yes,,yes,,,,,
Burseraceae,Boswellia dalzielii,"Bulletin du Muséum National d'Histoire Naturelle Section B,Adansonia, botanique, phytochimie ",Muséum national d'histoire naturelle (France),v.6 (1984),1985,Page 234,,,yes,,,,,,,
Burseraceae,Boswellia dalzielii,"Bulletin du Muséum National d'Histoire Naturelle Section B,Adansonia, botanique, phytochimie ",Muséum national d'histoire naturelle (France),v.6 (1984),1986,Page 37.7,,text,,,,,,,,
Chrysobalanaceae,Chrysobalanus icaco,See tab under spp name,,,,,,,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Bulletin of the African Bird Club. ,African Bird Club.,"v.10,no.1(March 2003)",2003,Page 35,,list,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Bulletin of the British Museum (Natural History). Botany. Botany.,British Museum (Natural History),v.4 (1965-1973),1965,Page 353,,list,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Catalogue of the African plants ,"British MuseuBritish Museum (Natural History). Department of Botany.Hiern, William P. (William Philip),Rendle, A. B. (Alfred Barton),Welwitsch, Friedrich,m (Natural History). Department of Botany.",v.1 pt.4,1896,Page 982,,,,,yes,,,yes,,
Euphorbiaceae,Macaranga spinosa,Flora of tropical Africa / ,"Oliver, Daniel,",v.6:sect.1 (1909-1913) [Nyc.-Eup.],1909-1913,Page 934,yes,,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Flora of tropical Africa / ,"Oliver, Daniel,",v.6:sect.1 (1909-1913) [Nyc.-Eup.],1909-1913,Page 944,,,,,,yes,,yes,,
Euphorbiaceae,Macaranga spinosa,"Flora oder Botanische Zeitung :welche Recensionen, Abhandlungen, Aufsätze, Neuigkeiten und Nachrichten, die Botanik betreffend, enthält / ",Königliche Bayerische Botanische Gesellschaft zu Regensburg.Königliche Botanische Gesellschaft,v.47 (1864),1864,Page 466,,,,,,[Latin] yes,,,,
Euphorbiaceae,Macaranga spinosa,Great Basin naturalist memoirs. ,Brigham Young University.,no.13:pt.2:v.B (1992),1992,Page 1297,,list,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Malimbus : journal of the West African Ornithological Society. ,West African Ornithological Society.,v.23:no.2 (2001),2001,Page 78,,text,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Mededeelingen uit 's Lands Plantentuin. ,'s Lands Plantentuin.,v.10,1893,Page 141,,[Dutch] text,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Me´moires / ,Société botanique de France.,1907-12 no.8-24,1907-1912,Page 80,,,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Me´moires / ,Société botanique de France.,1907-12 no.8-24,1907-1912,Page 126,,,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Das Pflanzenreich :regni vegetablilis conspectus / ,"Engler, Adolf,",heft 63-65(1914-1915),1914-1915,Page 330,yes,,,,,,,,,
Euphorbiaceae,Macaranga spinosa,Das Pflanzenreich :regni vegetablilis conspectus / ,"Engler, Adolf,",heft 63-65(1914-1915),1914-1915,Page 331,,,,,,[Latin] yes,,,yes,
Euphorbiaceae,Macaranga spinosa,"Wissenschaftliche Ergebnisse der zweiten Deutschen Zentral-Afrika-Expedition, 1910-1911, unter Führung Adolf Friedrichs. ","Deutsche Zentral-Afrika-Expedition (2nd : 1910-1911)Adolf Friedrich, Duke of Mecklenburg Schwerin,Hamburgische Wissenschaftliche Stiftung.",Bd.2,1922,Page 185,,list,,,,,,,,
Euphorbiaceae,Macaranga spinosa,"Wissenschaftliche Ergebnisse der zweiten Deutschen Zentral-Afrika-Expedition, 1910-1911, unter Führung Adolf Friedrichs. ","Deutsche Zentral-Afrika-Expedition (2nd : 1910-1911)Adolf Friedrich, Duke of Mecklenburg Schwerin,Hamburgische Wissenschaftliche Stiftung.",Bd.2,1913,Page 87,,list,,,,,,,,
Euphorbiaceae,Macaranga spinosa,"Wissenschaftliche Ergebnisse der zweiten Deutschen Zentral-Afrika-Expedition, 1910-1911, unter Führung Adolf Friedrichs. ","Deutsche Zentral-Afrika-Expedition (2nd : 1910-1911)Adolf Friedrich, Duke of Mecklenburg Schwerin,Hamburgische Wissenschaftliche Stiftung.",Bd.2,1913,Page 185,,list,,,,,,,,
Euphorbiaceae,Macaranga spinosa,"Les zoocécidies des plantes d'Afrique, d'Asie et d'Océanie : description des galles, illustration, bibliographie détaillée, répartition géographique, index bibliographique / ","Houard, C. (Clodomir),",t.1,1922-1923,Page 453,,?,,,,,,,,
Euphorbiaceae,Macaranga spinosa,"Les zoocécidies des plantes d'Afrique, d'Asie et d'Océanie : description des galles, illustration, bibliographie détaillée, répartition géographique, index bibliographique / ","Houard, C. (Clodomir),",t.1,1922-1923,Page 454,,,,,,,,,,drawing
Euphorbiaceae,Macaranga spinosa,Malimbus : journal of the West African Ornithological Society. ,West African Ornithological Society.,v.23:no.2 (2001),2001,Page 79,,list,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Bulletin du Muséum national d'histoire naturelle. ,Muséum national d'histoire naturelle (France),ser.2:t.31 (1959),1959,p. 113,,yes,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Bulletin of the British Museum (Natural History). Botany. Botany.,British Museum (Natural History),v.4 (1965-1973),1965,Page 384,,yes,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Flora of tropical Africa / ,"Oliver, Daniel,",v.4:sect.2 (1905-1906) [Hyd.-Ped.],1905-1906,Page 505,yes,,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Flora of tropical Africa / ,"Oliver, Daniel,",v.4:sect.2 (1905-1906) [Hyd.-Ped.],1905-1906,Page 511,,,,,yes,,,,,
Gesneriaceae,Streptocarpus nobilis,"Die Natürlichen Pflanzenfamilien nebst ihren Gattungen und wichtigeren Arten, insbesondere den Nutzpflanzen, unter Mitwirkung zahlreicher hervorragender Fachgelehrten begründet ","Engler, Adolf,Krause, Kurt,Pilger, Robert Knuds Friedrich,Prantl, Karl Anton Eugen,",T.4 Abt.3b,1887-1909,Page 151,,[German?] text,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.174-176 (1969-1970),1969-1970,Page 17,,list,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Plant inventory; plant material introduced. ,"Agricultural Research Center (Beltsville, Md.)Agricultural Research Center-West (U.S.). Northeastern Region.United States. Agricultural Research Service. Horticultural Crops Research Branch.United States. Science and Education Administration. Federal Research.",no.174-176 (1969-1970),1969-1970,Page 260,,list,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,Rodriguésia: Revista do Jardim Botânico do Rio de Janeiro ,,"32, 1980",1980,Page 25,,with reference,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,West African forests and forestry / ,"Unwin, Arthur Harold.",(go to volume),1920,197,,list,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,"West African forests and forestry, ","Unwin, Arthur Harold.",(go to volume),1920,Page 197,,list,,,,,,,,
Gesneriaceae,Streptocarpus nobilis,"West African forests and forestry, ","Unwin, Arthur Harold.",(go to volume),1920,Page 524,,list,,,,,,,,
Lamiaceae,Clerodendrum leprieuri,Phytologia. ,"Gleason, Henry A. , Gleason, Henry A. (Henry Allan), Moldenke, Alma L. (Alma Lance), Moldenke, lma Lance. Moldenke, Harold N. (Harold Norman),",v.4 (1952-1954),1952,Page 50,,,,,,[Latin] yes,,,,
Lamiaceae,Clerodendrum leprieuri,Phytologia. ,"Gleason, Henry A. , Gleason, Henry A. (Henry Allan), Moldenke, Alma L. (Alma Lance), Moldenke, lma Lance. Moldenke, Harold N. (Harold Norman),",v.4 (1952-1954),1952,Page71,,,yes,,,,,,,
Lamiaceae,Clerodendrum leprieuri,"A sixth summary of the Verbenaceae, Avicenniaceae, Stilbaceae, Chloanthaceae, Symphoremaceae, Nyctanthaceae, and Eriocaulaceae of the world as to valid taxa, geographic distribution and synonymy / ","Moldenke, Harold N. (Harold Norman),",v. 2 (1980),1980,Page 205,,,yes,,,,,,,
Lamiaceae,Clerodendrum leprieuri,"A sixth summary of the Verbenaceae, Avicenniaceae, Stilbaceae, Chloanthaceae, Symphoremaceae, Nyctanthaceae, and Eriocaulaceae of the world as to valid taxa, geographic distribution and synonymy / ","Moldenke, Harold N. (Harold Norman),",v. 2 (1980),1981,Page 206,,,yes,,,,,,,
Lamiaceae,Clerodendrum leprieuri,"A sixth summary of the Verbenaceae, Avicenniaceae, Stilbaceae, Chloanthaceae, Symphoremaceae, Nyctanthaceae, and Eriocaulaceae of the world as to valid taxa, geographic distribution and synonymy / ","Moldenke, Harold N. (Harold Norman),",v. 2 (1980),1982,Page 539,,list,,,,,,,,
Leguminosae,Trigonella anguina,Annales des sciences naturelles. Botanique. Botanique.,,ser.4:t.4 (1855),1855,Page 266,,,French,,,,,,,
Leguminosae,Trigonella anguina,Annales des sciences naturelles. Botanique. Botanique.,,ser.4:t.4 (1855),1855,Page 283,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie. ","Engler, Adolf,",v.14(1892),1892,Page 238,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie. ","Engler, Adolf,",v.54(1916-1917),1916-1917,Page 61,,text,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie. ","Engler, Adolf,",v.54(1916-1917),1916-1917,Page 126 ??,,,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie. ","Engler, Adolf,",v.54(1916-1917),1916-1917,Page 130,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher für Systematik, Pflanzengeschichte und Pflanzengeographie. ","Engler, Adolf,",v.54(1916-1917),1916-1917,Page 154,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.14 (1892),1892,Page 238,,,yes,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.16 (1892),1893,Page 253,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.54 (1917),1917,Page 61,,text,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.54 (1917),1917,Page 90,,,German ,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.54 (1917),1917,Page 126,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.54 (1917),1917,Page 127,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.54 (1917),1917,Page 130,,list,,,,,,,,
Leguminosae,Trigonella anguina,"Botanische Jahrbücher fur Systematik, Pflanzengeschichte und Pflanzengeographie. ",,v.54 (1917),1917,Page 154,,index,,,,,,,,
Leguminosae,Trigonella anguina,Bulletin de la Société botanique de France. ,Centre national de la recherche scientifique (France)Société botanique de France.,v.4 (1857),1857,Page 10,,text,,,,,,,,
Leguminosae,Trigonella anguina,Bulletin de la Société botanique de France. ,Centre national de la recherche scientifique (France)Société botanique de France.,v.4 (1857),1857,Page 135,,,,,,,yes,,yes,
Leguminosae,Trigonella anguina,Bulletin de la Société botanique de France. ,Centre national de la recherche scientifique (France)Société botanique de France.,v.4 (1857),1857,Page 396,,list,,,,,,,,
Leguminosae,Trigonella anguina,Bulletin de la Société botanique de France. ,Centre national de la recherche scientifique (France)Société botanique de France.,v.4 (1857),1857,Page 466,,list,,,,,,,,
Leguminosae,Trigonella anguina,Bulletin de la Société botanique de France. ,Centre national de la recherche scientifique (France)Société botanique de France.,v.4 (1857),1857,Page 470,,list,,,,,,,,
Leguminosae,Trigonella anguina,Bulletin de la Société botanique de France. ,Centre national de la recherche scientifique (France)Société botanique de France.,v.4 (1857),1857,Page 474,,text,,,,,,,,
